endTime,artistName,trackName,msPlayed
2020-10-13 19:51,Brigitte,Battez-vous,243758
2020-10-13 19:53,Elsa Kopf,Mai en moi,118893
2020-10-13 19:57,Coralie Clement,L'ombre et la lumière,248373
2020-10-13 20:01,Florent Marchet,Courchevel,233933
2020-10-13 20:04,Cœur De Pirate,Pour un infidèle,154106
2020-10-13 20:07,Keren Ann,Que n'ai-je ?,210373
2020-10-13 20:11,Jacqueline Taieb,Petite Fille D'amour,199761
2020-10-13 20:15,Jane Birkin,Prends cette main,253880
2020-10-13 20:19,Stacey Kent,La vénus du mélo,227376
2020-10-13 20:21,Barbara Carlotti,Cannes,153040
2020-10-13 20:24,Madeleine Peyroux,J'ai Deux Amours,176133
2020-10-13 20:27,Jane Birkin,Surannée,152893
2020-10-13 20:29,Jane Birkin,La grippe,161533
2020-10-13 20:31,Brigitte Bardot,Une histoire de plage,113493
2020-10-13 20:35,Caracol,L'autel de l'absence,213760
2020-10-13 20:38,Vanessa Paradis,L'Au-Delà,199026
2020-10-13 20:41,Dorval,Jusqu'à La Lie,127622
2020-10-13 20:45,Hayley Williams,Over Yet,214959
2020-10-13 20:48,Hayley Williams,Dead Horse,199412
2020-10-13 20:51,Hayley Williams,Creepin',178398
2020-10-13 20:52,Hayley Williams,Why We Ever,58790
2020-10-13 23:10,Hayley Williams,Why We Ever,204647
2020-10-13 23:13,Hayley Williams,Watch Me While I Bloom,224094
2020-10-13 23:18,Hayley Williams,Sugar On The Rim,254321
2020-10-13 23:18,Hayley Williams,Taken,27522
2020-10-14 02:01,Maxime Le Forestier,San Francisco,165560
2020-10-14 02:05,Stacey Kent,La vénus du mélo,227376
2020-10-14 02:09,Carla Bruni,La possibilité d'une île,237440
2020-10-14 02:13,Rose,Chez moi,269226
2020-10-14 02:17,Rose,Ne partez pas,246200
2020-10-14 02:20,Brigitte Bardot,Un jour comme un autre,140826
2020-10-14 02:22,Brigitte,Quel beau dimanche,164185
2020-10-14 02:26,Rose,C'est donc rien,185733
2020-10-14 02:28,Madeleine Peyroux,J'ai Deux Amours,176133
2020-10-14 02:31,Zazie,Homme sweet homme - Remix,151649
2020-10-15 16:21,Zazie,Homme sweet homme - Remix,80541
2020-10-15 16:26,Barbara Carlotti,Tunis,279840
2020-10-15 16:29,Carla Bruni,Ma jeunesse,155493
2020-10-15 16:32,Nouvelle Vague,Love Will Tear Us Apart,198026
2020-10-15 16:35,Carla Bruni,Le toi du moi,203186
2020-10-15 16:39,Élodie Frégé,La ceinture - Radio Edit,213533
2020-10-15 16:40,Albin de la Simone,Mort en plein air,44582
2020-10-15 16:42,Albin de la Simone,Mort en plein air,121453
2020-10-15 16:45,Rose,Comment c'était déjà,213640
2020-10-15 16:48,Cœur De Pirate,Adieu,16628
2020-10-15 16:48,Cœur De Pirate,Adieu,131022
2020-10-15 16:51,Elsa Kopf,Larmes de caramel,186866
2020-10-15 16:54,Fredda,Les Rose Des Filles,156960
2020-10-15 16:56,Cœur De Pirate,Francis,117533
2020-10-15 16:59,Zaz,Dans mon Paris - Version swing manouche,197972
2020-10-15 17:00,Natasha St-Pier,Bonne nouvelle,76675
2020-10-15 17:02,Natasha St-Pier,Bonne nouvelle,120208
2020-10-15 17:07,Coralie Clement,L'ombre et la lumière,248373
2020-10-15 17:11,Jane Birkin,Période bleue,229293
2020-10-15 17:15,Jane Birkin,Palais Royal,222506
2020-10-15 17:17,Carla Bruni,Quelqu'un m'a dit,168626
2020-10-15 17:21,Olivia Ruiz,Non-dits,241653
2020-10-15 17:25,Dorval,Ne me demande rien,198693
2020-10-15 17:29,JP Nataf,Mon ami d'en haut,224532
